Detailed solution trace (one move per line)
alpha=1.0, beta=1.0
step	from	to	edge_dist	city_gold_total	taken_here	carry_before	carry_after	move_cost	cumulative_cost	delivered_total_so_far
135	0	48	0.434889	808.443221	808.443221	0.000000	808.443221	0.434889	10497.997762	21900.134373
136	48	0	0.434889	0.000000	0.000000	808.443221	0.000000	352.017861	10850.015622	22708.577593
137	0	30	0.170865	22.590468	0.000000	0.000000	0.000000	0.170865	10850.186488	22708.577593
138	30	33	0.199654	141.108840	0.000000	0.000000	0.000000	0.199654	10850.386141	22708.577593
139	33	55	0.144975	165.443210	165.443210	0.000000	165.443210	0.144975	10850.531117	22708.577593
140	55	33	0.144975	141.108840	0.000000	165.443210	165.443210	24.130138	10874.661255	22708.577593
141	33	30	0.199654	22.590468	0.000000	165.443210	165.443210	33.230980	10907.892234	22708.577593
142	30	0	0.170865	0.000000	0.000000	165.443210	0.000000	28.439387	10936.331621	22874.020803
143	0	28	0.080083	521.151730	0.000000	0.000000	0.000000	0.080083	10936.411704	22874.020803
144	28	47	0.169007	829.959953	0.000000	0.000000	0.000000	0.169007	10936.580710	22874.020803
145	47	46	0.288189	371.551362	371.551362	0.000000	371.551362	0.288189	10936.868900	22874.020803
146	46	47	0.288189	829.959953	0.000000	371.551362	371.551362	107.365379	11044.234279	22874.020803
147	47	28	0.169007	521.151730	521.151730	371.551362	892.703092	62.963676	11107.197954	22874.020803
148	28	0	0.080083	0.000000	0.000000	892.703092	0.000000	71.570305	11178.768260	23766.723895
149	0	16	0.217066	23.781067	0.000000	0.000000	0.000000	0.217066	11178.985325	23766.723895
150	16	29	0.316396	439.472549	439.472549	0.000000	439.472549	0.316396	11179.301722	23766.723895
151	29	16	0.316396	23.781067	23.781067	439.472549	463.253616	139.363821	11318.665543	23766.723895
152	16	0	0.217066	0.000000	0.000000	463.253616	0.000000	100.773510	11419.439053	24229.977511
153	0	34	0.473431	554.482107	554.482107	0.000000	554.482107	0.473431	11419.912483	24229.977511
154	34	0	0.473431	0.000000	0.000000	554.482107	0.000000	262.982263	11682.894746	24784.459618
155	0	28	0.080083	521.151730	0.000000	0.000000	0.000000	0.080083	11682.974829	24784.459618
156	28	47	0.169007	829.959953	0.000000	0.000000	0.000000	0.169007	11683.143836	24784.459618
157	47	35	0.238183	109.467165	109.467165	0.000000	109.467165	0.238183	11683.382019	24784.459618
